ID,Name_allTime,Name_night,Name_day,Name_peak,all_h,nightTime_h,dayTime_h,peakTime_h,GA_ID
25511,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8952
25512,Minhang,Minhang,Shanghai Proper,Minhang,24.0,12.0,8.0,4.0,8953
25513,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,8954
25514,Fenxian,Fenxian,Fenxian,Fenxian,22.0,12.0,7.0,4.0,8955
25515,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,20.0,9.0,7.0,3.0,8956
25516,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,8957
25517,Pudong New,Pudong New,Pudong New,Pudong New,16.0,8.0,5.0,2.0,8958
25518,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,8959
25519,Shanghai Proper,Minhang,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8960
25520,Minhang,Minhang,Minhang,Minhang,23.0,12.0,8.0,4.0,8961
25521,Songjiang,Songjiang,Songjiang,Songjiang,22.0,11.0,8.0,4.0,8962
25522,Minhang,Baoshan,Minhang,Shanghai Proper,24.0,12.0,8.0,4.0,8963
25523,Minhang,Minhang,Minhang,Minhang,23.0,12.0,8.0,4.0,8964
25524,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8965
25525,Songjiang,Songjiang,Minhang,Songjiang,23.0,12.0,8.0,4.0,8966
25526,Shanghai Proper,Jiading,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,8967
25527,Qingpu,Qingpu,Qingpu,Qingpu,23.0,11.0,8.0,4.0,8968
25528,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,8969
25529,Minhang,Minhang,Shanghai Proper,Minhang,24.0,12.0,8.0,4.0,8970
25530,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,8971
25531,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8972
25532,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8973
25533,Minhang,Minhang,Minhang,Minhang,13.0,7.0,4.0,2.0,8974
25534,Minhang,Minhang,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8975
25535,Minhang,Minhang,Minhang,Minhang,23.0,12.0,8.0,4.0,8976
25536,Shanghai Proper,Jiading,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,8977
25537,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8978
25538,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,8.0,4.0,8979
25539,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,8980
25540,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8981
25541,Baoshan,Baoshan,Baoshan,Baoshan,24.0,12.0,8.0,4.0,8982
25542,Minhang,Minhang,Minhang,Minhang,17.0,6.0,7.0,4.0,8983
25543,Baoshan,Baoshan,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8984
25544,Fenxian,Fenxian,Fenxian,Fenxian,23.0,11.0,8.0,4.0,8985
25545,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,23.0,12.0,7.0,4.0,8986
25546,Minhang,Minhang,Minhang,Minhang,24.0,12.0,8.0,4.0,8987
25547,Pudong New,Pudong New,Pudong New,Pudong New,24.0,12.0,8.0,4.0,8988
25549,Qingpu,Qingpu,Qingpu,Qingpu,24.0,12.0,8.0,4.0,8989
25550,Shanghai Proper,Baoshan,Shanghai Proper,Shanghai Proper,23.0,11.0,8.0,4.0,8990
25551,Pudong New,Fenxian,Pudong New,Fenxian,24.0,12.0,8.0,4.0,8991
25552,Minhang,Minhang,Minhang,Shanghai Proper,24.0,12.0,8.0,4.0,8992
25553,Shanghai Proper,Shanghai Proper,Shanghai Proper,Shanghai Proper,24.0,12.0,8.0,4.0,8993
